學習階段,學校名稱,縣市,地區
高中,新北市立北大高級中學,新北,北部
高中,新北市立明德高級中學,新北,北部
高中,新北市立樹林高級中學,新北,北部
高中,新北市立錦和高級中學,新北,北部
高中,新北市私立金陵女子高級中學,新北,北部
高職,新北市私立莊敬高級工業家事職業學校,新北,北部
高中,新北市私立醒吾高級中學,新北,北部
高中,臺北市立中正高級中學,台北,北部
高中,臺北市立內湖高級中學,台北,北部
高中,臺北市立第一女子高級中學,台北,北部
高中,臺北市立永春高級中學,台北,北部
高中,臺北市立建國高級中學,台北,北部
高中,臺北市立復興高級中學,台北,北部
高中,臺北市立陽明高級中學,台北,北部
高中,臺北市立萬芳高級中學,台北,北部
高中,臺北市立麗山高級中學,台北,北部
高中,臺北市景文高級中學,台北,北部
高中,桃園市立平鎮高級中學,桃園,北部
高中,桃園市私立治平高級中學,桃園,北部
高中,桃園市私立啟英高級中學,桃園,北部
高中,國立中央大學附屬中壢高級中學,桃園,北部
高中,國立武陵高級中學,桃園,北部
高中,國立桃園高級中學,桃園,北部
高中,臺中市立惠文高級中學,台中,中部
高中,臺中市立臺中女子高級中學,台中,中部
高中,臺中市私立明道高級中學,台中,中部
高中,臺中市私立華盛頓高級中學,台中,中部
高中,臺中市私立新民高級中學,台中,中部
高中,臺中市私立葳格高級中學,台中,中部
高職,臺中市私立光華高級工業職業學校,台中,中部
高職,臺南市私立育德工業家事職業學校,台南,南部
高職,臺南市私立陽明高級工商職業學校,台南,南部
高中,臺南市私立聖功女子高級中學,台南,南部
高職,國立北門高級農工職業學校,台南,南部
高中,國立新豐高級中學,台南,南部
高中,國立臺南第二高級中學,台南,南部
高中,國立臺南大學附屬高級中學,台南,南部
高職,高雄市私立三信高級家事商業職業學校,高雄,南部
高中,高雄市私立立志高級中學,高雄,南部
高職,高雄市私立高苑高級工商職業學校,高雄,南部
高中,國立苑裡高級中學,苗栗,中部
高中,南投縣立旭光高級中學,南投,中部
高職,嘉義縣私立協志高級工商職業學校,嘉義,中部
高中,國立屏北高級中學,屏東,南部
高中,國立玉里高級中學,花蓮,東部
高職,國立花蓮高級工業職業學校,花蓮,東部
高中,新竹市私立磐石高級中學,新竹,北部
高中,新竹市私立曙光女子高級中學,新竹,北部
高中,嘉義市私立宏仁女子高級中學,嘉義,中部
